DATA MOV;SIGLA;CODIGO;CODIGO ISIN;EMISSAO;VENCIMENTO;NUM DE OPER;QUANT NEGOCIADA;VALOR NEGOCIADO;PU MIN;PU MED;PU MAX;PU LASTRO;VALOR PAR;TAXA MIN;TAXA MED;TAXA MAX;NUM OPER COM CORRETAGEM;QUANT NEG COM CORRETAGEM
02/09/2024;LFT;210100;BRSTNCLF1RC4;26/10/2018;01/03/2025;232;193619;;15272,96858600;15292,76953500;15331,77920900;15285,54813387;15288,23830700;-0,5669;-0,0591;0,2000;43;31205
02/09/2024;LFT;210100;BRSTNCLF1RD2;08/03/2019;01/09/2025;335;513403;;15273,97335500;15294,60625100;15371,32988200;15279,49187722;15288,23830700;-0,5447;-0,0419;0,0942;64;102143
02/09/2024;LFT;210100;BRSTNCLF1RE0;06/09/2019;01/03/2026;381;843910;;15276,86385500;15288,29350300;15317,85162400;15268,60295396;15288,23830700;-0,1298;-0,0002;0,0500;108;230115
02/09/2024;LFT;210100;BRSTNCLF1RF7;13/03/2020;01/09/2026;391;126923;;15230,83097200;15289,07158300;15445,82946700;15261,22987348;15288,23830700;-0,5134;-0,0027;0,1890;65;66466
02/09/2024;LFT;210100;BRSTNCLF1RG5;03/07/2020;01/03/2027;294;460658;;15076,98543000;15265,47958600;15463,15104100;15234,58714680;15288,23830700;-0,4590;0,0602;0,5644;107;63091
02/09/2024;LFT;210100;BRSTNCLF1RH3;02/07/2021;01/09/2027;160;214388;;15107,17970000;15251,79631500;15316,18520600;15212,30209949;15288,23830700;-0,0611;0,0800;0,4000;61;40357
02/09/2024;LFT;210100;BRSTNCLF1RI1;05/01/2022;01/03/2028;65;174497;;15208,78533000;15231,33110900;15319,94611300;15186,21550803;15288,23830700;-0,0595;0,1073;0,1500;17;5471
02/09/2024;LFT;210100;BRSTNCLF1RK7;06/04/2022;01/09/2028;52;79546;;15160,69179100;15209,47663400;15233,53698900;15160,69179132;15288,23830700;0,0900;0,1297;0,2105;13;11453
02/09/2024;LFT;210100;BRSTNCLF1RL5;05/10/2022;01/03/2029;120;121462;;15113,69249000;15188,23172300;15281,41975200;15133,65976194;15288,23830700;0,0100;0,1472;0,2577;11;14410
02/09/2024;LFT;210100;BRSTNCLF1RM3;05/07/2023;01/09/2029;85;45682;;15000,00000000;15169,50201400;15566,71356700;15108,52260235;15288,23830700;-0,3623;0,1569;0,3835;12;1717
02/09/2024;LFT;210100;BRSTNCLF1RO9;10/01/2024;01/03/2030;21;22568;;15155,44466900;15156,16986000;15188,51312700;15089,57692677;15288,23830700;0,1200;0,1591;0,1600;2;748
02/09/2024;LFT;210100;BRSTNCLF1RQ4;03/04/2024;01/06/2030;32;81339;;15106,43057600;15146,74900800;15192,68681700;15077,24905294;15288,23830700;0,1100;0,1631;0,2100;5;4846
02/09/2024;LFT;210100;BRSTNCLF1RR2;03/07/2024;01/09/2030;49;146453;;15089,41476500;15135,97791100;15270,03001500;15063,53392248;15288,23830700;0,0200;0,1681;0,2200;4;3789
02/09/2024;LTN;100000;BRSTNCLTN822;08/07/2022;01/10/2024;9;434910;;991,63857400;991,72485600;991,74549200;991,24447610;1000,00000000;10,4580;10,4855;10,6010;0;0
02/09/2024;LTN;100000;BRSTNCLTN7N2;01/02/2018;01/01/2025;36;67927;;965,21035800;966,08611300;967,37541000;964,08522500;1000,00000000;10,4625;10,9053;11,2075;1;50
02/09/2024;LTN;100000;BRSTNCLTN830;06/01/2023;01/04/2025;7;621615;;940,14625400;940,25601300;940,45204300;936,76283671;1000,00000000;11,2600;11,3003;11,3229;1;90
02/09/2024;LTN;100000;BRSTNCLTN7Z6;07/01/2022;01/07/2025;63;2099482;;912,13589700;914,33369600;917,70233600;909,67519258;1000,00000000;11,0777;11,5785;11,9075;2;400000
02/09/2024;LTN;100000;BRSTNCLTN863;07/07/2023;01/10/2025;19;2831320;;886,95651000;887,36531900;891,73559500;881,30611804;1000,00000000;11,2000;11,7072;11,7550;4;705014
02/09/2024;LTN;100000;BRSTNCLTN7U7;06/02/2020;01/01/2026;62;698905;;858,09708300;861,55500700;865,85950400;854,77549738;1000,00000000;11,4075;11,8247;12,1625;6;123006
02/09/2024;LTN;100000;BRSTNCLTN8B5;05/01/2024;01/04/2026;9;650416;;837,37578300;837,70819600;839,53133700;830,12532125;1000,00000000;11,7425;11,8968;11,9250;1;11
02/09/2024;LTN;100000;BRSTNCLTN848;06/01/2023;01/07/2026;93;8695892;;813,32917200;814,64408800;816,67776200;806,18971877;1000,00000000;11,7870;11,9404;12,0400;7;450072
02/09/2024;LTN;100000;BRSTNCLTN8G4;05/07/2024;01/10/2026;5;1476;;790,45511600;790,79499400;796,45024400;781,61584516;1000,00000000;11,5900;11,9738;11,9970;0;0
02/09/2024;LTN;100000;BRSTNCLTN871;07/07/2023;01/07/2027;31;2019394;;725,18168400;727,30699000;729,76243200;714,84109588;1000,00000000;11,8660;12,0002;12,1170;3;350017
02/09/2024;LTN;100000;BRSTNCLTN897;05/01/2024;01/01/2028;46;710489;;676,85501300;685,33093800;692,55859900;671,63665989;1000,00000000;11,7100;12,0638;12,4850;2;350011
02/09/2024;LTN;100000;BRSTNCLTN8F6;05/07/2024;01/07/2028;19;1300691;;644,65870600;647,45324600;649,62879900;631,72629066;1000,00000000;11,9890;12,0876;12,2150;4;400010
02/09/2024;LTN;100000;BRSTNCLTN8A7;05/01/2024;01/01/2030;160;7505725;;540,45624200;543,99114400;555,36730500;526,43864022;1000,00000000;11,7600;12,1981;12,3365;11;800050
02/09/2024;NTN-B;760197;BRSTNCNTB492;26/06/2013;15/02/2025;1;1692;;123,99103100;123,99103100;123,99103100;123,97716757;;;;;0;0
02/09/2024;NTN-B;760197;BRSTNCNTB1P2;15/08/2004;15/05/2025;1;417;;122,34365700;122,34365700;122,34365700;122,16882061;;;;;0;0
02/09/2024;NTN-B;760199;BRSTNCNTB633;08/01/2020;15/05/2025;458;1594555;;4382,35575000;4386,92143300;4401,69023700;4380,57413082;4315,49838300;;;;8;8171
02/09/2024;NTN-B;760198;BRSTNCNTB4W2;24/06/2016;15/08/2026;2;71;;3797,14656600;3821,45861400;3851,08892300;3780,85212021;4315,49838300;;;;0;0
02/09/2024;NTN-B;760199;BRSTNCNTB4U6;06/01/2016;15/08/2026;582;1697851;;4254,22161400;4275,20359000;4319,46256100;4251,56163491;4315,49838300;;;;9;12768
02/09/2024;NTN-B;760197;BRSTNCNTB4D2;26/06/2013;15/02/2027;1;3643;;109,80521400;109,80521400;109,80521400;108,40408532;;;;;0;0
02/09/2024;NTN-B;760199;BRSTNCNTB682;12/01/2022;15/05/2027;224;316361;;4314,59873000;4339,57893100;4398,77711700;4306,42179640;4315,49838300;;;;8;8334
02/09/2024;NTN-B;760197;BRSTNCNTB4E0;26/06/2013;15/08/2027;4;7865;;106,58999200;106,64015900;106,64609700;104,95762251;;;;;0;0
02/09/2024;NTN-B;760197;BRSTNCNTB4F7;26/06/2013;15/02/2028;4;3274;;103,36182300;103,36788100;103,37477000;101,51419637;;;;;0;0
02/09/2024;NTN-B;760197;BRSTNCNTB1V0;15/08/2004;15/05/2028;1;9841;;101,61398800;101,61398800;101,61398800;99,97629343;;;;;0;0
02/09/2024;NTN-B;760198;BRSTNCNTB625;22/02/2018;15/08/2028;1;89;;3413,50372900;3413,50372900;3413,50372900;3327,20661356;4315,49838300;;;;0;0
02/09/2024;NTN-B;760199;BRSTNCNTB4X0;10/01/2018;15/08/2028;365;614651;;4215,08654000;4260,38183900;4339,34946300;4212,65495235;4315,49838300;;;;5;3850
02/09/2024;NTN-B;760197;BRSTNCNTB1W8;15/08/2004;15/11/2028;1;1449;;97,75935700;97,75935700;97,75935700;96,87410246;;;;;0;0
02/09/2024;NTN-B;760197;BRSTNCNTB4H3;26/06/2013;15/02/2029;2;1166;;96,46281600;96,46281600;96,46281600;95,49728030;;;;;0;0
02/09/2024;NTN-B;760197;BRSTNCNTB1X6;15/08/2004;15/05/2029;1;528;;95,03861000;95,03861000;95,03861000;94,12706109;;;;;0;0
02/09/2024;NTN-B;760199;BRSTNCNTB716;17/01/2024;15/05/2029;276;231885;;4278,57098400;4333,37061300;4425,09877700;4277,11276227;4315,49838300;;;;4;421
02/09/2024;NTN-B;760197;BRSTNCNTB4J9;26/06/2013;15/02/2030;1;539;;92,63722500;92,63722500;92,63722500;90,12167118;;;;;0;0
02/09/2024;NTN-B;760197;BRSTNCNTB4K7;26/06/2013;15/08/2030;2;4679;;89,92035800;89,96647100;90,19452000;87,49345223;;;;;0;0
02/09/2024;NTN-B;760198;BRSTNCNTB4M3;26/06/2013;15/08/2030;1;78;;3051,83429100;3051,83429100;3051,83429100;2959,55834045;4315,49838300;;;;0;0
02/09/2024;NTN-B;760199;BRSTNCNTB3B8;10/02/2010;15/08/2030;260;411832;;4216,82146500;4281,54620900;4359,49099200;4216,59751136;4315,49838300;;;;6;2741
02/09/2024;NTN-B;760199;BRSTNCNTB674;05/01/2022;15/08/2032;101;72239;;4185,51944800;4267,12841900;4360,33256000;4184,77383278;4315,49838300;;;;1;12
02/09/2024;NTN-B;760199;BRSTNCNTB6B1;04/01/2023;15/05/2033;43;47529;;4323,68766500;4332,98469000;4427,02791000;4238,89034868;4315,49838300;;;;2;96
02/09/2024;NTN-B;760198;BRSTNCNTB3E2;09/03/2010;15/05/2035;6;9180;;2295,12002300;2296,07296100;2349,16609900;2188,52351145;4315,49838300;;;;0;0
02/09/2024;NTN-B;760199;BRSTNCNTB0O7;07/03/2006;15/05/2035;316;294607;;4222,57865400;4326,57378800;4504,32270200;4215,05666757;4315,49838300;;;;8;12213
02/09/2024;NTN-B;760199;BRSTNCNTB3C6;10/02/2010;15/08/2040;68;34382;;4147,26046800;4294,28620100;4460,31084900;4136,95584397;4315,49838300;;;;3;335
02/09/2024;NTN-B;760198;BRSTNCNTB2U0;15/08/2004;15/05/2045;5;1758;;1225,41056200;1254,79366100;1387,56882600;1159,10088293;4315,49838300;;;;0;0
02/09/2024;NTN-B;760199;BRSTNCNTB0A6;15/08/2004;15/05/2045;243;92152;;4139,61730400;4286,61690900;4578,38069300;4127,81488490;4315,49838300;;;;3;2583
02/09/2024;NTN-B;760197;BRSTNCNTB5R9;17/01/2018;15/08/2045;1;16499;;36,36558700;36,36558700;36,36558700;33,70623835;;;;;0;0
